product_name	brands	nutrition_grade_fr	pnns_groups_1	energy_100g	fat_100g	saturated_fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	nutrition_score_fr_100g	sel_100g
Fromage Blanc	Rivera	B	a renseigner	70.02868068833652	3.154	2.0	6.1240000000000006	5.0	0.0	6.0	2.0	0.9
Sachet poutine	St Hubert	C	a renseigner	15.05736137667304	0.489	0.0	1.64	0.0	0.0	0.2	10.0	3.6
Champignons Morceaux Et Pieds	Succes	B	a renseigner	20.076481835564053	0.28	0.0	0.8799999999999999	0.0	0.0	0.0	0.0	0.22
Vegetable Moussaka	Marks & Spencer - Count On Us	B	a renseigner	70.02868068833652	3.7640000000000002	4.4	5.274	3.4	2.1	2.6	2.0	0.3
Mayo, Vraie Mayonnaise	Kraft	B	a renseigner	99.90439770554492	5.28	1.5	9.093	0.0	0.0	0.1	2.0	0.07
Beurre D'arachide (crémeux)	Kraft	B	a renseigner	90.10516252390057	3.9299999999999997	1.5	8.95	1.0	1.0	3.0	2.0	0.6
Super Green Soup	Mark & Spencers	B	a renseigner	36.089866156787764	1.1300000000000001	0.1	4.39	1.1	1.2	1.2	0.0	0.43
Confiture Ultra Légère (framboises)	Smucker s	B	a renseigner	20.076481835564053	0.11000000000000001	0.0	7.13	5.0	1.0	0.1	0.0	0.001
Soothing Chamomile & Honey	Twinings	B	a renseigner	2.390057361376673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vinaigre basalmic	bartenura, Royal Wine Corporation	C	matieres grasses et les sauces	66.92160611854685	0.0	0.0	20.0	20.0	0.32999999999999996	0.0	4.0	0.0
All natural Yellow Mustard	Woeber's	C	matieres grasses et les sauces	74.80879541108986	4.2	0.2	5.6	0.1	0.471	3.7	8.0	3.95
L'orange Lemon Orange	Perrier	B	boissons	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
Ceeam Of Tomato Soup	M&S	C	a renseigner	54.97131931166348	2.0900000000000003	1.1	7.015000000000001	4.9	1.3	1.0	3.0	0.48
Nouilles Instantanées Saveur Crevettes Yeo's	Yeo s	C	a renseigner	81.02294455066921	3.84	2.1	9.360000000000001	0.5	0.01	2.0	5.0	0.9
Premium Sojasauce	Lee Kum Kee	D	a renseigner	92.01720841300191	4.59	0.1	13.160000000000002	10.0	0.0	7.7	13.0	17.2
Sel De Mer (fin)	La baleine	B	a renseigner	0.0	0.026000000000000002	0.0	0.13	0.0	0.0	0.0	2.0	0.5
Grey Goose Vodka	Migros grey	B	a renseigner	30.11472275334608	0.9029999999999999	0.0	3.7920000000000003	3.0	0.0	0.0	0.0	0.0
Guinness Foreing Extra Stout	Guinness	B	a renseigner	65.0095602294455	2.7	0.01	7.07	0.01	0.1	0.8	0.0	0.005
Rice Dream	Rice dream	B	a renseigner	49.95219885277246	1.26	0.1	7.860000000000001	7.1	0.0	0.1	1.0	0.12
Soupe Instantanée, Goût Poulet, 48 Grammes, Marque Knorr	Knorr Instant Soup avec Nouilles et Croutons	C	a renseigner	43.977055449330784	1.4700000000000002	0.5	5.4079999999999995	0.7	0.01	1.2	3.0	0.9
Soupe Knorr 48 GR A La Tomate	Knorr Instant Soup avec Nouilles et Croutons	C	a renseigner	61.90248565965583	3.01	0.8	6.05	4.4	0.01	1.5	3.0	0.7
Extremely Fruity	Marks & Spencer	B	a renseigner	85.08604206500955	1.489	1.0	13.440000000000001	13.5	0.5	3.8	1.0	0.1
raspberry jellies	marks and spencer	B	a renseigner	61.90248565965583	0.639	0.1	13.049999999999997	13.6	1.3	0.4	2.0	0.1
Kimchi / Chou chinois	Wang	C	aliments composes	40.152963671128106	0.0	0.0	6.7	2.5	0.37	2.5	9.0	2.87
Boisson à L'aloe Vera 1L5	Aloe dream	B	a renseigner	38.0019120458891	0.66	0.0	5.5600000000000005	5.2	0.0	0.0	1.0	0.008
Bière Hinano	Hinano	B	boissons	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Compote Rhubarbe	Bonne Maman	C	a renseigner	99.90439770554492	2.21	0.0	16.06	20.0	0.0	0.0	5.0	0.0
Butternut Squash Soupe	M&s	B	a renseigner	32.98279158699809	1.0399999999999998	0.2	4.6499999999999995	3.6	1.0	0.6	1.0	0.6
Jarritos Tamarind	Jarritos,  Jarritos  Inc.	E	boissons	37.523900573613766	0.0	0.0	9.17	9.17	0.04	0.0	13.0	0.0476
Smoothie vanilla bean, maple syrup and yogurt	Marks and Spencer	C	a renseigner	94.88527724665391	3.3940000000000006	2.2	13.15	11.4	0.5	0.1	5.0	0.13
Coconut Water	M&S	B	a renseigner	20.076481835564053	0.11000000000000001	0.1	6.959999999999999	4.1	0.1	0.1	0.0	0.1
Blended Tea Red label	Sinsbury's	B	a renseigner	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
Sauce Barbecue Jack Daniel's Hickory Brown Sugar	Jack Daniels	E	a renseigner	49.95219885277246	1.6309999999999998	12.0	10.51	10.0	0.0	12.0	22.0	2.8
Cream Of Tomato Soup	Sainsbury's	B	a renseigner	55.927342256214146	1.95	1.1	7.405000000000001	5.2	0.7	1.9	2.0	0.4
Morue salée séchée	Sans marque,Delabli	C	poisson viande oeufs	78.63288718929255	0.0	0.0	0.0	0.0	0.0	19.0	5.0	3.5
Poilane Country Loaf	Waitrose	B	a renseigner	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
Poulet rôti	Maître Coq	B	a renseigner	61.90248565965583	1.775	1.4	0.6	0.1	0.1	24.0	2.0	1.4
Oatmeal Raisin Cookies	Metro	C	a renseigner	7.887189292543021	8.0	0.0	5.0	0.0	0.0	1.0	10.0	4.0
Morue salée séchée prédécoupée	Sans marque,Delpierre	C	poisson viande oeufs	78.63288718929255	0.0	0.0	0.0	0.0	0.0	19.0	5.0	3.5
Créatine monohydraté	Nutrimuscle	B	a renseigner	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
